[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-4.997794E+00	-3.945666E-05
-4.948135E+00	-3.981780E-05
-4.897545E+00	-3.980547E-05
-4.847081E+00	-3.970971E-05
-4.797163E+00	-3.956236E-05
-4.745987E+00	-3.927762E-05
-4.696311E+00	-3.896723E-05
-4.646280E+00	-3.860414E-05
-4.595658E+00	-3.823848E-05
-4.545176E+00	-3.781516E-05
-4.495306E+00	-3.744619E-05
-4.444795E+00	-3.696851E-05
-4.394413E+00	-3.654166E-05
-4.344296E+00	-3.603903E-05
-4.293890E+00	-3.556575E-05
-4.243579E+00	-3.512285E-05
-4.193469E+00	-3.465524E-05
-4.143292E+00	-3.415346E-05
-4.093316E+00	-3.364881E-05
-4.042531E+00	-3.316129E-05
-3.992121E+00	-3.271051E-05
-3.942525E+00	-3.223678E-05
-3.892440E+00	-3.176414E-05
-3.841310E+00	-3.123221E-05
-3.792000E+00	-3.078123E-05
-3.741293E+00	-3.031028E-05
-3.691504E+00	-2.983260E-05
-3.640671E+00	-2.931272E-05
-3.590469E+00	-2.883780E-05
-3.540269E+00	-2.842340E-05
-3.490412E+00	-2.795670E-05
-3.439966E+00	-2.740208E-05
-3.390051E+00	-2.699289E-05
-3.339430E+00	-2.649193E-05
-3.290278E+00	-2.608805E-05
-3.239036E+00	-2.561530E-05
-3.189348E+00	-2.517807E-05
-3.138573E+00	-2.471523E-05
-3.088354E+00	-2.427102E-05
-3.038036E+00	-2.384944E-05
-2.988268E+00	-2.346581E-05
-2.937014E+00	-2.299540E-05
-2.887677E+00	-2.258851E-05
-2.837332E+00	-2.214734E-05
-2.787401E+00	-2.173572E-05
-2.736943E+00	-2.138903E-05
-2.687117E+00	-2.094768E-05
-2.636470E+00	-2.047930E-05
-2.586185E+00	-2.010638E-05
-2.535782E+00	-1.972605E-05
-2.485620E+00	-1.932104E-05
-2.434932E+00	-1.886673E-05
-2.385053E+00	-1.848123E-05
-2.334664E+00	-1.812773E-05
-2.284943E+00	-1.775578E-05
-2.233250E+00	-1.732240E-05
-2.184348E+00	-1.695984E-05
-2.133318E+00	-1.656601E-05
-2.083931E+00	-1.619979E-05
-2.033286E+00	-1.586049E-05
-1.982805E+00	-1.548035E-05
-1.932950E+00	-1.511368E-05
-1.882148E+00	-1.473540E-05
-1.831818E+00	-1.440477E-05
-1.781703E+00	-1.406870E-05
-1.730435E+00	-1.368187E-05
-1.681044E+00	-1.331388E-05
-1.630652E+00	-1.296944E-05
-1.581201E+00	-1.263525E-05
-1.530327E+00	-1.227940E-05
-1.479995E+00	-1.192153E-05
-1.428653E+00	-1.153591E-05
-1.379406E+00	-1.121768E-05
-1.328578E+00	-1.086341E-05
-1.279040E+00	-1.052862E-05
-1.229009E+00	-1.015478E-05
-1.178229E+00	-9.713310E-06
-1.127911E+00	-9.390826E-06
-1.078263E+00	-9.036036E-06
-1.027590E+00	-8.679997E-06
-9.771757E-01	-8.356395E-06
-9.274912E-01	-8.037693E-06
-8.773495E-01	-7.674386E-06
-8.266090E-01	-7.307898E-06
-7.764032E-01	-6.959810E-06
-7.260452E-01	-6.609389E-06
-6.762149E-01	-6.212854E-06
-6.255357E-01	-5.847066E-06
-5.761868E-01	-5.496129E-06
-5.254699E-01	-5.074995E-06
-4.753185E-01	-4.666436E-06
-4.246677E-01	-4.281721E-06
-3.749375E-01	-3.842761E-06
-3.244859E-01	-3.390125E-06
-2.742355E-01	-2.940365E-06
-2.239981E-01	-2.475559E-06
-1.744549E-01	-1.927283E-06
-1.234094E-01	-1.377411E-06
-7.356905E-02	-7.755540E-07
-2.382945E-02	-1.723005E-07
+2.187096E-02	+4.243202E-07
+7.312140E-02	+1.153207E-06
+1.232629E-01	+1.934543E-06
+1.734997E-01	+2.753358E-06
+2.227234E-01	+3.663581E-06
+2.742776E-01	+4.692276E-06
+3.240149E-01	+5.773963E-06
+3.745724E-01	+6.948382E-06
+4.243060E-01	+8.231503E-06
+4.754357E-01	+9.668851E-06
+5.250652E-01	+1.116367E-05
+5.753179E-01	+1.284377E-05
+6.243168E-01	+1.461969E-05
+6.757078E-01	+1.660954E-05
+7.254323E-01	+1.870906E-05
+7.761892E-01	+2.102698E-05
+8.262348E-01	+2.354695E-05
+8.770599E-01	+2.629350E-05
+9.265786E-01	+2.927155E-05
+9.772053E-01	+3.257013E-05
+1.027292E+00	+3.611998E-05
+1.077414E+00	+3.998926E-05
+1.127443E+00	+4.420562E-05
+1.178528E+00	+4.896231E-05
+1.228375E+00	+5.397463E-05
+1.278384E+00	+5.944088E-05
+1.327450E+00	+6.536759E-05
+1.379156E+00	+7.193326E-05
+1.428566E+00	+7.892960E-05
+1.479636E+00	+8.664135E-05
+1.529888E+00	+9.488297E-05
+1.579914E+00	+1.038848E-04
+1.630202E+00	+1.131832E-04
+1.680508E+00	+1.238051E-04
+1.730547E+00	+1.350265E-04
+1.781378E+00	+1.471327E-04
+1.831013E+00	+1.601261E-04
+1.881873E+00	+1.743089E-04
+1.932098E+00	+1.895813E-04
+1.981466E+00	+2.060064E-04
+2.032392E+00	+2.236699E-04
+2.082716E+00	+2.434829E-04
+2.132789E+00	+2.639815E-04
+2.182977E+00	+2.868152E-04
+2.233638E+00	+3.114651E-04
+2.283602E+00	+3.388001E-04
+2.333456E+00	+3.676735E-04
+2.384982E+00	+3.999097E-04
+2.434438E+00	+4.346322E-04
+2.485281E+00	+4.737814E-04
+2.534046E+00	+5.149289E-04
+2.585943E+00	+5.607497E-04
+2.634946E+00	+6.103832E-04
+2.685710E+00	+6.660649E-04
+2.736283E+00	+7.250339E-04
+2.786018E+00	+7.907044E-04
+2.836177E+00	+8.614283E-04
+2.886787E+00	+9.409427E-04
+2.936694E+00	+1.026306E-03
+2.987087E+00	+1.116360E-03
+3.036069E+00	+1.217589E-03
+3.088120E+00	+1.331820E-03
+3.138007E+00	+1.452755E-03
+3.187739E+00	+1.586883E-03
+3.238690E+00	+1.733324E-03
+3.288368E+00	+1.896720E-03
+3.339070E+00	+2.072609E-03
+3.388880E+00	+2.266849E-03
+3.439266E+00	+2.478420E-03
+3.488631E+00	+2.716175E-03
+3.539673E+00	+2.972983E-03
+3.589725E+00	+3.257150E-03
+3.640661E+00	+3.568967E-03
+3.690292E+00	+3.916266E-03
+3.739846E+00	+4.296752E-03
+3.791974E+00	+4.723317E-03
+3.840321E+00	+5.189246E-03
+3.891377E+00	+5.713735E-03
+3.941391E+00	+6.290114E-03
+3.991034E+00	+6.939382E-03
+4.042039E+00	+7.659528E-03
+4.091508E+00	+8.471514E-03
+4.142821E+00	+9.371020E-03
+4.173725E+00	+9.998026E-03
+4.173085E+00	+9.997603E-03
+4.173052E+00	+9.998209E-03
+4.172716E+00	+9.998078E-03
+4.172313E+00	+9.998178E-03
+4.171842E+00	+9.997956E-03
+4.172481E+00	+9.998239E-03
+4.171606E+00	+9.997926E-03
+4.171842E+00	+9.998258E-03
+4.171337E+00	+9.997915E-03
+4.171001E+00	+9.997926E-03
+4.171001E+00	+9.998268E-03
+4.170530E+00	+9.997967E-03
+4.169319E+00	+9.997028E-03
+4.170699E+00	+9.998420E-03
+4.169790E+00	+9.997633E-03
+4.170598E+00	+9.998078E-03

