[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-4.999429E+00	-4.316924E-04
-4.948619E+00	-4.313032E-04
-4.898879E+00	-4.314945E-04
-4.849027E+00	-4.321815E-04
-4.798505E+00	-4.323860E-04
-4.747818E+00	-4.326695E-04
-4.698253E+00	-4.327543E-04
-4.647136E+00	-4.331533E-04
-4.596539E+00	-4.341513E-04
-4.546487E+00	-4.356512E-04
-4.496942E+00	-4.358471E-04
-4.446344E+00	-4.353682E-04
-4.396216E+00	-4.348812E-04
-4.345546E+00	-4.345924E-04
-4.295472E+00	-4.339751E-04
-4.245595E+00	-4.335181E-04
-4.195284E+00	-4.332195E-04
-4.144940E+00	-4.316835E-04
-4.094694E+00	-4.301739E-04
-4.043700E+00	-4.286256E-04
-3.993868E+00	-4.271445E-04
-3.943607E+00	-4.251061E-04
-3.893240E+00	-4.233149E-04
-3.842971E+00	-4.218462E-04
-3.792578E+00	-4.207001E-04
-3.742301E+00	-4.191259E-04
-3.692317E+00	-4.181559E-04
-3.641407E+00	-4.168149E-04
-3.591767E+00	-4.152843E-04
-3.541219E+00	-4.136128E-04
-3.491461E+00	-4.128323E-04
-3.440856E+00	-4.121359E-04
-3.391088E+00	-4.115686E-04
-3.340613E+00	-4.114294E-04
-3.290623E+00	-4.111591E-04
-3.240452E+00	-4.107731E-04
-3.190432E+00	-4.099476E-04
-3.140036E+00	-4.093217E-04
-3.090069E+00	-4.085361E-04
-3.039194E+00	-4.075309E-04
-2.989272E+00	-4.066260E-04
-2.938451E+00	-4.062134E-04
-2.889858E+00	-4.061098E-04
-2.838644E+00	-4.060590E-04
-2.788029E+00	-4.058672E-04
-2.737940E+00	-4.056693E-04
-2.688673E+00	-4.054080E-04
-2.637506E+00	-4.051392E-04
-2.587942E+00	-4.046312E-04
-2.537518E+00	-4.032450E-04
-2.487072E+00	-4.016954E-04
-2.436748E+00	-4.001670E-04
-2.386158E+00	-3.987871E-04
-2.335793E+00	-3.971728E-04
-2.285750E+00	-3.960550E-04
-2.234990E+00	-3.951848E-04
-2.185498E+00	-3.941280E-04
-2.134428E+00	-3.927604E-04
-2.084805E+00	-3.918082E-04
-2.034172E+00	-3.910348E-04
-1.984398E+00	-3.905502E-04
-1.933773E+00	-3.904488E-04
-1.883379E+00	-3.904401E-04
-1.832972E+00	-3.905231E-04
-1.782524E+00	-3.906490E-04
-1.732526E+00	-3.904702E-04
-1.682080E+00	-3.905810E-04
-1.631928E+00	-3.910713E-04
-1.581693E+00	-3.915527E-04
-1.531260E+00	-3.922254E-04
-1.481864E+00	-3.919478E-04
-1.430480E+00	-3.914281E-04
-1.380639E+00	-3.910656E-04
-1.330261E+00	-3.912877E-04
-1.279686E+00	-3.911538E-04
-1.229622E+00	-3.910518E-04
-1.179651E+00	-3.906295E-04
-1.128736E+00	-3.901336E-04
-1.078758E+00	-3.899095E-04
-1.028034E+00	-3.896017E-04
-9.783170E-01	-3.893645E-04
-9.274424E-01	-3.886502E-04
-8.779103E-01	-3.879283E-04
-8.278329E-01	-3.869611E-04
-7.781757E-01	-3.853709E-04
-7.270657E-01	-3.832780E-04
-6.771283E-01	-3.815340E-04
-6.275434E-01	-3.801369E-04
-5.767051E-01	-3.788693E-04
-5.261887E-01	-3.779945E-04
-4.770222E-01	-3.769682E-04
-4.258919E-01	-3.759090E-04
