[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-9.998369E-01	-1.529327E-05
-9.897654E-01	-1.527173E-05
-9.797190E-01	-1.522775E-05
-9.697012E-01	-1.514870E-05
-9.596244E-01	-1.507658E-05
-9.495793E-01	-1.501041E-05
-9.395368E-01	-1.496078E-05
-9.294924E-01	-1.491024E-05
-9.194018E-01	-1.482462E-05
-9.094096E-01	-1.467359E-05
-8.993374E-01	-1.462697E-05
-8.892584E-01	-1.455149E-05
-8.792648E-01	-1.447222E-05
-8.692038E-01	-1.433737E-05
-8.591651E-01	-1.426154E-05
-8.490705E-01	-1.418125E-05
-8.390905E-01	-1.407599E-05
-8.290534E-01	-1.397800E-05
-8.189832E-01	-1.386181E-05
-8.089394E-01	-1.376322E-05
-7.989255E-01	-1.381335E-05
-7.888508E-01	-1.368400E-05
-7.788050E-01	-1.355459E-05
-7.686757E-01	-1.343442E-05
-7.586731E-01	-1.337535E-05
-7.486458E-01	-1.329717E-05
-7.385931E-01	-1.322090E-05
-7.284766E-01	-1.309812E-05
-7.184336E-01	-1.290339E-05
-7.083630E-01	-1.282325E-05
-6.982574E-01	-1.276554E-05
-6.882381E-01	-1.269345E-05
-6.781798E-01	-1.258181E-05
-6.681635E-01	-1.246807E-05
-6.580960E-01	-1.236168E-05
-6.480635E-01	-1.227939E-05
-6.380662E-01	-1.222706E-05
-6.280243E-01	-1.211957E-05
-6.179015E-01	-1.200088E-05
-6.079203E-01	-1.187807E-05
-5.978414E-01	-1.183346E-05
-5.878454E-01	-1.175543E-05
-5.777446E-01	-1.167882E-05
-5.677822E-01	-1.158230E-05
-5.577362E-01	-1.143993E-05
-5.476306E-01	-1.133048E-05
-5.376264E-01	-1.123583E-05
-5.275519E-01	-1.115997E-05
-5.174726E-01	-1.106687E-05
-5.074653E-01	-1.096155E-05
-4.973698E-01	-1.086047E-05
-4.873226E-01	-1.078938E-05
-4.772528E-01	-1.066350E-05
-4.672168E-01	-1.056475E-05
-4.571378E-01	-1.049257E-05
-4.471458E-01	-1.037955E-05
-4.370294E-01	-1.026963E-05
-4.269783E-01	-1.019165E-05
-4.168506E-01	-1.011653E-05
-4.068269E-01	-9.880705E-06
-3.967695E-01	-9.776253E-06
-3.867291E-01	-9.753239E-06
-3.767253E-01	-9.624614E-06
-3.667123E-01	-9.509427E-06
-3.566537E-01	-9.425913E-06
-3.465311E-01	-9.392597E-06
-3.365460E-01	-9.261084E-06
-3.265035E-01	-9.123980E-06
-3.164818E-01	-9.053030E-06
-3.064345E-01	-9.013158E-06
-2.964562E-01	-8.881872E-06
-2.862768E-01	-8.765641E-06
-2.763036E-01	-8.678549E-06
-2.662458E-01	-8.623319E-06
-2.562662E-01	-8.546665E-06
-2.460878E-01	-8.458516E-06
-2.361107E-01	-8.364986E-06
-2.260382E-01	-8.203362E-06
-2.159093E-01	-8.140690E-06
-2.058989E-01	-8.078383E-06
-1.958113E-01	-7.924467E-06
-1.857730E-01	-7.857863E-06
-1.757572E-01	-7.817232E-06
-1.656985E-01	-7.742692E-06
-1.556211E-01	-7.524527E-06
-1.455324E-01	-7.469989E-06
-1.354998E-01	-7.404662E-06
-1.254685E-01	-7.313847E-06
-1.153984E-01	-7.137078E-06
-1.054003E-01	-7.057022E-06
-9.522712E-02	-6.991038E-06
-8.522169E-02	-6.846195E-06
-7.522117E-02	-6.785261E-06
-6.507608E-02	-6.730449E-06
-5.514944E-02	-6.625591E-06
-4.506411E-02	-6.447128E-06
-3.503494E-02	-6.405451E-06
-2.501824E-02	-6.343177E-06
-1.493041E-02	-6.226829E-06
-4.853144E-03	-6.055191E-06
+4.850754E-03	-5.975701E-06
+1.492773E-02	-5.911800E-06
+2.497377E-02	-5.748172E-06
+3.492798E-02	-5.650431E-06
+4.504711E-02	-5.556981E-06
+5.508580E-02	-5.462320E-06
+6.512110E-02	-5.394898E-06
+7.512566E-02	-5.292595E-06
+8.516205E-02	-5.166576E-06
+9.520622E-02	-5.073597E-06
+1.052550E-01	-4.982332E-06
+1.154234E-01	-4.879490E-06
+1.253802E-01	-4.712851E-06
+1.355177E-01	-4.625766E-06
+1.455115E-01	-4.567820E-06
+1.555277E-01	-4.449446E-06
+1.654956E-01	-4.284538E-06
+1.756711E-01	-4.096501E-06
+1.856642E-01	-4.032035E-06
+1.957221E-01	-3.967564E-06
+2.058340E-01	-3.710757E-06
+2.158518E-01	-3.612083E-06
+2.258540E-01	-3.518362E-06
+2.359563E-01	-3.432580E-06
+2.460186E-01	-3.292668E-06
+2.561559E-01	-3.160775E-06
+2.662068E-01	-3.048981E-06
+2.762647E-01	-2.893253E-06
+2.862809E-01	-2.760240E-06
+2.962840E-01	-2.646691E-06
+3.062905E-01	-2.519120E-06
+3.163798E-01	-2.295761E-06
+3.263424E-01	-2.203120E-06
+3.364505E-01	-2.087721E-06
+3.465318E-01	-1.958580E-06
+3.565509E-01	-1.698505E-06
+3.665263E-01	-1.596394E-06
+3.766541E-01	-1.482362E-06
+3.866603E-01	-1.327077E-06
+3.966840E-01	-1.048776E-06
+4.069015E-01	-8.694553E-07
+4.168538E-01	-6.658103E-07
+4.269339E-01	-5.365723E-07
+4.368019E-01	-3.888627E-07
+4.469671E-01	-1.617212E-07
+4.571843E-01	-1.211902E-08
+4.671475E-01	+1.578616E-07
+4.771841E-01	+3.858873E-07
+4.871702E-01	+5.223390E-07
+4.971846E-01	+7.669566E-07
+5.073338E-01	+1.026981E-06
+5.174781E-01	+1.234744E-06
+5.274794E-01	+1.508421E-06
+5.375201E-01	+1.740557E-06
+5.475679E-01	+1.924301E-06
+5.575986E-01	+2.204230E-06
+5.676745E-01	+2.474513E-06
+5.777117E-01	+2.728618E-06
+5.876579E-01	+2.853568E-06
+5.977744E-01	+3.148361E-06
+6.077108E-01	+3.432563E-06
+6.179127E-01	+3.756667E-06
+6.279693E-01	+4.013041E-06
+6.379864E-01	+4.271546E-06
+6.480274E-01	+4.565720E-06
+6.580634E-01	+4.936637E-06
+6.680224E-01	+5.219124E-06
+6.781051E-01	+5.493691E-06
+6.881559E-01	+5.793196E-06
+6.982077E-01	+6.213334E-06
+7.082453E-01	+6.555314E-06
+7.184174E-01	+6.886592E-06
+7.283593E-01	+7.271991E-06
+7.383187E-01	+7.638905E-06
+7.485865E-01	+8.000804E-06
+7.584770E-01	+8.369898E-06
+7.685738E-01	+8.707647E-06
+7.787005E-01	+9.092018E-06
+7.887408E-01	+9.448612E-06
+7.987516E-01	+9.833011E-06
+8.088644E-01	+1.045533E-05
+8.189583E-01	+1.080121E-05
+8.289779E-01	+1.136000E-05
+8.390278E-01	+1.181165E-05
+8.489864E-01	+1.225895E-05
+8.590049E-01	+1.269766E-05
+8.691543E-01	+1.309738E-05
+8.791969E-01	+1.357310E-05
+8.891066E-01	+1.412711E-05
+8.993273E-01	+1.468086E-05
+9.093188E-01	+1.510966E-05
+9.193223E-01	+1.561798E-05
+9.294038E-01	+1.611686E-05
+9.394252E-01	+1.660614E-05
+9.494262E-01	+1.748411E-05
+9.595764E-01	+1.807239E-05
+9.696521E-01	+1.867124E-05
+9.796299E-01	+1.924935E-05
+9.897627E-01	+1.962173E-05
+9.997727E-01	+2.023445E-05

