[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-4.998561E+00	-1.835523E-03
-4.947934E+00	-1.849013E-03
-4.898168E+00	-1.846293E-03
-4.847820E+00	-1.840743E-03
-4.797683E+00	-1.837087E-03
-4.747125E+00	-1.830300E-03
-4.697282E+00	-1.826600E-03
-4.647049E+00	-1.824879E-03
-4.596996E+00	-1.823271E-03
-4.546368E+00	-1.817255E-03
-4.495876E+00	-1.809831E-03
-4.446230E+00	-1.798840E-03
-4.395665E+00	-1.784729E-03
-4.344608E+00	-1.770207E-03
-4.294532E+00	-1.759188E-03
-4.244256E+00	-1.745435E-03
-4.194713E+00	-1.731637E-03
-4.143694E+00	-1.718989E-03
-4.093516E+00	-1.708926E-03
-4.042861E+00	-1.697910E-03
-3.992791E+00	-1.686110E-03
-3.943050E+00	-1.670572E-03
-3.892798E+00	-1.655932E-03
-3.841993E+00	-1.639167E-03
-3.791700E+00	-1.622080E-03
-3.741988E+00	-1.604234E-03
-3.691813E+00	-1.589136E-03
-3.641335E+00	-1.576663E-03
-3.591637E+00	-1.567254E-03
-3.540828E+00	-1.562676E-03
-3.490553E+00	-1.551968E-03
-3.440470E+00	-1.537931E-03
-3.390152E+00	-1.521850E-03
-3.339651E+00	-1.502958E-03
-3.290421E+00	-1.492059E-03
-3.239771E+00	-1.483080E-03
-3.189397E+00	-1.472880E-03
-3.139632E+00	-1.464897E-03
-3.089236E+00	-1.452154E-03
-3.038864E+00	-1.438219E-03
-2.988873E+00	-1.425129E-03
-2.938397E+00	-1.414923E-03
-2.888531E+00	-1.406688E-03
-2.837947E+00	-1.397288E-03
-2.787984E+00	-1.387288E-03
-2.737808E+00	-1.371986E-03
-2.687866E+00	-1.357306E-03
-2.636842E+00	-1.341530E-03
-2.586877E+00	-1.332741E-03
-2.536348E+00	-1.326745E-03
-2.486143E+00	-1.319502E-03
-2.435657E+00	-1.309492E-03
-2.385269E+00	-1.300897E-03
-2.334878E+00	-1.290385E-03
-2.285383E+00	-1.279003E-03
-2.234349E+00	-1.270436E-03
-2.184844E+00	-1.262536E-03
-2.133975E+00	-1.255261E-03
-2.084149E+00	-1.244617E-03
-2.033700E+00	-1.235747E-03
-1.983422E+00	-1.227605E-03
-1.933726E+00	-1.223723E-03
-1.882627E+00	-1.216406E-03
-1.832310E+00	-1.210270E-03
-1.782351E+00	-1.204055E-03
-1.731945E+00	-1.193944E-03
-1.681845E+00	-1.182857E-03
-1.630981E+00	-1.173615E-03
-1.581365E+00	-1.166647E-03
-1.530692E+00	-1.159641E-03
-1.481436E+00	-1.151123E-03
-1.430235E+00	-1.139842E-03
-1.379933E+00	-1.126478E-03
-1.329162E+00	-1.113041E-03
-1.279806E+00	-1.106767E-03
-1.228896E+00	-1.099337E-03
-1.178944E+00	-1.097562E-03
-1.128406E+00	-1.101153E-03
-1.079614E+00	-1.099224E-03
-1.027571E+00	-1.093547E-03
-9.783314E-01	-1.088186E-03
-9.271547E-01	-1.081665E-03
-8.779103E-01	-1.073735E-03
-8.272474E-01	-1.063780E-03
-7.771344E-01	-1.053329E-03
-7.266505E-01	-1.040464E-03
-6.763321E-01	-1.028751E-03
-6.264588E-01	-1.019470E-03
-5.768244E-01	-1.011810E-03
-5.264494E-01	-1.005649E-03
-4.758343E-01	-1.000215E-03
-4.250949E-01	-9.947823E-04
-3.759375E-01	-9.912120E-04
-3.247032E-01	-9.847931E-04
-2.751587E-01	-9.768927E-04
-2.248052E-01	-9.678844E-04
-1.753712E-01	-9.547241E-04
-1.242194E-01	-9.462633E-04
-7.417775E-02	-9.367300E-04
-2.322499E-02	-9.297039E-04
+2.338781E-02	-9.226745E-04
+7.393547E-02	-9.184928E-04
+1.232649E-01	-9.135017E-04
+1.734997E-01	-9.065170E-04
+2.240514E-01	-8.973498E-04
+2.744951E-01	-8.903162E-04
+3.244344E-01	-8.841736E-04
+3.741505E-01	-8.726550E-04
+4.253357E-01	-8.597270E-04
+4.753542E-01	-8.500589E-04
+5.253893E-01	-8.412060E-04
+5.759419E-01	-8.327258E-04
+6.251187E-01	-8.223818E-04
+6.769515E-01	-8.142089E-04
+7.258653E-01	-8.099247E-04
+7.772170E-01	-8.046984E-04
+8.267661E-01	-7.994499E-04
+8.772545E-01	-7.950434E-04
+9.264852E-01	-7.919622E-04
+9.771282E-01	-7.878288E-04
