[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-4.999288E+00	-3.990089E-05
-4.948997E+00	-4.022519E-05
-4.898918E+00	-4.020246E-05
-4.848168E+00	-4.022817E-05
-4.798203E+00	-4.013857E-05
-4.747477E+00	-3.977943E-05
-4.697042E+00	-3.949551E-05
-4.647390E+00	-3.925254E-05
-4.596991E+00	-3.888220E-05
-4.546331E+00	-3.843000E-05
-4.496605E+00	-3.805167E-05
-4.445869E+00	-3.758636E-05
-4.395690E+00	-3.712421E-05
-4.345213E+00	-3.670179E-05
-4.294980E+00	-3.624799E-05
-4.244624E+00	-3.575879E-05
-4.195418E+00	-3.522407E-05
-4.143963E+00	-3.475585E-05
-4.094154E+00	-3.430537E-05
-4.042831E+00	-3.382412E-05
-3.993401E+00	-3.333695E-05
-3.943146E+00	-3.284544E-05
-3.893070E+00	-3.233693E-05
-3.842288E+00	-3.189953E-05
-3.792908E+00	-3.142052E-05
-3.741898E+00	-3.091885E-05
-3.692460E+00	-3.043834E-05
-3.641609E+00	-2.993414E-05
-3.591377E+00	-2.951292E-05
-3.540828E+00	-2.904213E-05
-3.491349E+00	-2.857003E-05
-3.441076E+00	-2.797182E-05
-3.391474E+00	-2.756260E-05
-3.340391E+00	-2.710296E-05
-3.290496E+00	-2.665479E-05
-3.240220E+00	-2.621457E-05
-3.189626E+00	-2.573785E-05
-3.140036E+00	-2.527710E-05
-3.089009E+00	-2.484217E-05
-3.038436E+00	-2.450012E-05
-2.989810E+00	-2.400624E-05
-2.938521E+00	-2.352859E-05
-2.888896E+00	-2.312867E-05
-2.838107E+00	-2.269797E-05
-2.787917E+00	-2.225945E-05
-2.738145E+00	-2.189335E-05
-2.687996E+00	-2.150619E-05
-2.637065E+00	-2.100769E-05
-2.587883E+00	-2.059055E-05
-2.536975E+00	-2.020296E-05
-2.487031E+00	-1.981039E-05
-2.435697E+00	-1.936433E-05
-2.386585E+00	-1.897649E-05
-2.335181E+00	-1.856728E-05
-2.285383E+00	-1.815490E-05
-2.234835E+00	-1.780397E-05
-2.184476E+00	-1.745274E-05
-2.134445E+00	-1.703808E-05
-2.084906E+00	-1.665287E-05
-2.033583E+00	-1.628254E-05
-1.983894E+00	-1.592366E-05
