[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
-9.999257E-01	-1.419471E-05
-9.898137E-01	-1.412075E-05
-9.798371E-01	-1.407285E-05
-9.697797E-01	-1.397705E-05
-9.596967E-01	-1.387498E-05
-9.495664E-01	-1.379492E-05
-9.395494E-01	-1.372282E-05
-9.295123E-01	-1.365727E-05
-9.195256E-01	-1.356551E-05
-9.094279E-01	-1.347072E-05
-8.994355E-01	-1.340942E-05
-8.893636E-01	-1.333207E-05
-8.793373E-01	-1.321082E-05
-8.692187E-01	-1.312131E-05
-8.592118E-01	-1.301795E-05
-8.492250E-01	-1.302450E-05
-8.391511E-01	-1.294001E-05
-8.290633E-01	-1.281748E-05
-8.190799E-01	-1.270393E-05
-8.090159E-01	-1.259442E-05
-7.990074E-01	-1.254561E-05
-7.889215E-01	-1.247291E-05
-7.788540E-01	-1.239627E-05
-7.687688E-01	-1.222806E-05
-7.587456E-01	-1.211452E-05
-7.486962E-01	-1.203516E-05
-7.386248E-01	-1.196669E-05
-7.285489E-01	-1.190940E-05
-7.185504E-01	-1.177509E-05
-7.084413E-01	-1.167457E-05
-6.984055E-01	-1.157492E-05
-6.884066E-01	-1.151455E-05
-6.782761E-01	-1.145401E-05
-6.682126E-01	-1.134533E-05
-6.581613E-01	-1.122964E-05
-6.481192E-01	-1.110368E-05
-6.381164E-01	-1.104860E-05
-6.280342E-01	-1.098095E-05
-6.179974E-01	-1.088399E-05
-6.079494E-01	-1.070653E-05
-5.979177E-01	-1.062862E-05
-5.878514E-01	-1.049770E-05
-5.778540E-01	-1.042829E-05
-5.677996E-01	-1.041106E-05
-5.577217E-01	-1.028501E-05
-5.477126E-01	-1.017468E-05
-5.376236E-01	-1.007198E-05
-5.276108E-01	-1.001005E-05
-5.175273E-01	-9.906838E-06
-5.075825E-01	-9.796759E-06
-4.974445E-01	-9.644715E-06
-4.873467E-01	-9.601425E-06
-4.773219E-01	-9.546083E-06
-4.672874E-01	-9.347767E-06
-4.573093E-01	-9.299285E-06
-4.471235E-01	-9.260351E-06
-4.371358E-01	-9.176873E-06
-4.271124E-01	-9.014211E-06
-4.170053E-01	-8.943832E-06
-4.068876E-01	-8.878555E-06
-3.968465E-01	-8.700893E-06
-3.868115E-01	-8.650743E-06
-3.768320E-01	-8.567951E-06
-3.667497E-01	-8.455343E-06
-3.566652E-01	-8.364580E-06
-3.466747E-01	-8.289111E-06
-3.366477E-01	-8.173848E-06
-3.266289E-01	-8.045019E-06
-3.164917E-01	-7.987212E-06
-3.064899E-01	-7.920403E-06
-2.964677E-01	-7.807169E-06
-2.864010E-01	-7.712746E-06
-2.762935E-01	-7.651687E-06
-2.663474E-01	-7.539645E-06
-2.562624E-01	-7.403811E-06
-2.462575E-01	-7.302473E-06
-2.361170E-01	-7.269181E-06
-2.261098E-01	-7.140020E-06
-2.159461E-01	-7.003043E-06
-2.058955E-01	-6.882664E-06
-1.958447E-01	-6.808682E-06
-1.857857E-01	-6.744376E-06
-1.757932E-01	-6.589587E-06
-1.657173E-01	-6.543669E-06
-1.556463E-01	-6.458101E-06
-1.456053E-01	-6.327025E-06
-1.354403E-01	-6.214068E-06
-1.254332E-01	-6.146424E-06
-1.153949E-01	-6.050276E-06
-1.053811E-01	-5.899332E-06
-9.529851E-02	-5.773280E-06
-8.534938E-02	-5.728389E-06
-7.524559E-02	-5.644365E-06
-6.516844E-02	-5.458542E-06
-5.518015E-02	-5.391780E-06
-4.517070E-02	-5.325001E-06
-3.510470E-02	-5.196634E-06
-2.503842E-02	-5.041114E-06
-1.505097E-02	-4.982900E-06
-4.994127E-03	-4.866102E-06
+4.911275E-03	-4.745280E-06
+1.488702E-02	-4.641703E-06
+2.495379E-02	-4.490812E-06
+3.513281E-02	-4.360158E-06
+4.503739E-02	-4.293270E-06
+5.512482E-02	-4.162726E-06
+6.513917E-02	-3.999360E-06
+7.515470E-02	-3.877158E-06
+8.521248E-02	-3.835147E-06
+9.530007E-02	-3.717866E-06
+1.052760E-01	-3.550886E-06
+1.153831E-01	-3.442840E-06
+1.254609E-01	-3.358516E-06
+1.354214E-01	-3.186899E-06
+1.455127E-01	-3.013439E-06
+1.555379E-01	-2.928218E-06
+1.656071E-01	-2.802179E-06
+1.756785E-01	-2.631976E-06
+1.856914E-01	-2.461666E-06
+1.958176E-01	-2.340979E-06
+2.058425E-01	-2.235901E-06
+2.159746E-01	-2.074085E-06
+2.258706E-01	-1.888857E-06
+2.360407E-01	-1.774184E-06
+2.461074E-01	-1.628369E-06
+2.561559E-01	-1.419681E-06
+2.662184E-01	-1.268376E-06
+2.763880E-01	-1.146754E-06
+2.860870E-01	-8.755143E-07
+2.963677E-01	-6.817250E-07
+3.064266E-01	-5.537381E-07
+3.163899E-01	-3.876815E-07
+3.264792E-01	-1.820985E-07
+3.364753E-01	-1.988041E-08
+3.465402E-01	+1.873396E-07
+3.565625E-01	+3.664228E-07
+3.665524E-01	+5.699152E-07
+3.768024E-01	+7.907945E-07
+3.868099E-01	+9.703350E-07
+3.966712E-01	+1.158173E-06
+4.068107E-01	+1.430001E-06
+4.169143E-01	+1.624584E-06
+4.268562E-01	+1.822686E-06
+4.369703E-01	+2.078069E-06
+4.470607E-01	+2.372328E-06
+4.571540E-01	+2.591319E-06
+4.672043E-01	+2.811566E-06
+4.772306E-01	+3.095127E-06
+4.873495E-01	+3.385807E-06
+4.973258E-01	+3.665126E-06
+5.074110E-01	+3.904402E-06
+5.174590E-01	+4.177461E-06
+5.274480E-01	+4.514078E-06
+5.375460E-01	+4.783087E-06
+5.476417E-01	+5.069664E-06
+5.575615E-01	+5.390494E-06
+5.677102E-01	+5.674005E-06
+5.776978E-01	+5.979396E-06
+5.877090E-01	+6.329924E-06
+5.978104E-01	+6.696248E-06
+6.078863E-01	+7.007312E-06
+6.179327E-01	+7.316271E-06
+6.279441E-01	+7.663756E-06
+6.380309E-01	+8.086863E-06
+6.480726E-01	+8.405675E-06
+6.579311E-01	+8.738345E-06
+6.681556E-01	+9.144066E-06
+6.781151E-01	+9.562164E-06
+6.882836E-01	+9.930777E-06
+6.983154E-01	+1.032929E-05
+7.084037E-01	+1.079845E-05
+7.184272E-01	+1.120042E-05
+7.284072E-01	+1.163188E-05
+7.384815E-01	+1.204608E-05
+7.485362E-01	+1.256820E-05
+7.586150E-01	+1.301106E-05
+7.686165E-01	+1.346841E-05
+7.786098E-01	+1.389318E-05
+7.887822E-01	+1.436401E-05
+7.988452E-01	+1.488291E-05
+8.089285E-01	+1.537964E-05
+8.189816E-01	+1.591821E-05
+8.289074E-01	+1.633841E-05
+8.390848E-01	+1.688178E-05
+8.491082E-01	+1.739759E-05
+8.591303E-01	+1.796104E-05
+8.691776E-01	+1.855538E-05
+8.791665E-01	+1.910982E-05
+8.892261E-01	+1.966424E-05
+8.992724E-01	+2.026469E-05
+9.093738E-01	+2.085741E-05
+9.194157E-01	+2.145249E-05
+9.293540E-01	+2.204348E-05
+9.395565E-01	+2.265834E-05
+9.496460E-01	+2.342702E-05
+9.595354E-01	+2.408028E-05
+9.696756E-01	+2.474938E-05
+9.796962E-01	+2.542959E-05
+9.897867E-01	+2.601000E-05
+9.998998E-01	+2.673189E-05

