[0, 0, 0]
Voltage_1 (1)	Current_1 (1)
+2.720707E+00	+1.174176E-02
+2.721916E+00	+1.181287E-02
+2.722321E+00	+1.187541E-02
+2.723127E+00	+1.194148E-02
+2.724035E+00	+1.201007E-02
+2.724539E+00	+1.207714E-02
+2.725952E+00	+1.214118E-02
+2.726860E+00	+1.221129E-02
+2.727364E+00	+1.227584E-02
+2.728878E+00	+1.234192E-02
+2.729483E+00	+1.241101E-02
+2.729483E+00	+1.247607E-02
+2.730692E+00	+1.254012E-02
+2.731501E+00	+1.261072E-02
+2.731903E+00	+1.267780E-02
+2.732609E+00	+1.274084E-02
+2.733517E+00	+1.280943E-02
+2.734022E+00	+1.287702E-02
+2.734930E+00	+1.294157E-02
+2.735737E+00	+1.301067E-02
+2.736341E+00	+1.307774E-02
+2.736746E+00	+1.314127E-02
+2.737350E+00	+1.321189E-02
+2.738562E+00	+1.327543E-02
+2.739872E+00	+1.334099E-02
+2.740580E+00	+1.341060E-02
+2.740580E+00	+1.347515E-02
+2.741688E+00	+1.354021E-02
+2.741991E+00	+1.361284E-02
+2.741991E+00	+1.367638E-02
+2.743301E+00	+1.374194E-02
+2.744009E+00	+1.381154E-02
+2.744110E+00	+1.387711E-02
+2.745117E+00	+1.394568E-02
+2.746834E+00	+1.401226E-02
+2.747236E+00	+1.407631E-02
+2.747742E+00	+1.414642E-02
+2.748650E+00	+1.421298E-02
+2.748850E+00	+1.427704E-02
+2.750465E+00	+1.434512E-02
+2.750969E+00	+1.441169E-02
+2.751373E+00	+1.447524E-02
+2.752281E+00	+1.454686E-02
+2.752987E+00	+1.461191E-02
+2.753189E+00	+1.467799E-02
+2.754097E+00	+1.474859E-02
+2.754297E+00	+1.481466E-02
+2.756315E+00	+1.487820E-02
+2.755306E+00	+1.494427E-02
+2.756214E+00	+1.501286E-02
+2.758131E+00	+1.507741E-02
+2.757828E+00	+1.514752E-02
+2.758938E+00	+1.521307E-02
+2.759542E+00	+1.527815E-02
+2.760250E+00	+1.534623E-02
+2.760855E+00	+1.541279E-02
+2.761358E+00	+1.547734E-02
+2.763376E+00	+1.555249E-02
+2.762873E+00	+1.561150E-02
+2.763680E+00	+1.567808E-02
+2.764183E+00	+1.574717E-02
+2.765799E+00	+1.581323E-02
+2.766201E+00	+1.587729E-02
+2.766100E+00	+1.595041E-02
